,Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
636,37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
637,38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
638,39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
639,40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
640,41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
641,42,Humana,Health insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
642,43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
643,44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
644,45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
645,46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
646,47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
647,48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
648,49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
649,50,Tesla,Automotive and energy,"81,462",51.4%,"127,855","Austin, Texas"
650,51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
651,52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
652,53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
653,54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
654,55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
655,56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
656,57,Sysco,Food service,"68,636",33.8%,"70,510","Houston, Texas"
657,58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
658,59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
659,60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
660,61,StoneX Group,Financials,"66,036",55.3%,"4,000[2]","New York City, New York"
661,62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
662,63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
663,64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
664,65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
665,66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
666,67,IBM,Technology and cloud computing,"60,530",16.3%,"303,100","Armonk, New York"
667,68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
668,69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
669,70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
670,71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
671,72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,"5,214","Miami, Florida"
672,73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
673,74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
674,75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
675,76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
676,77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
677,78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
678,79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
679,80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
680,81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
681,82,Tyson Foods,Food processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
682,83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
683,84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,"83,300","San Jose, California"
684,85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
685,86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
686,87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
687,88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
688,89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
689,90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
690,91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
691,92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
692,93,Performance Food Group,Food processing,"47,194",61.6%,"34,825","Richmond, Virginia"
693,94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
694,95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
695,96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
696,97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
697,98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
698,99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
699,100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
700,1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
701,2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
702,3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
703,4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
704,5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
705,6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
706,7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
707,8,Alphabet,Technology and cloud computing,"282,836",9.8%,"156,000","Mountain View, California"
708,9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
709,10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
710,11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
711,12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
712,13,Microsoft,Technology and cloud computing,"198,270",18.0%,"221,000","Redmond, Washington"
713,14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
714,15,Cigna,Health insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
715,16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
716,17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
717,18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
718,19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
719,20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
720,21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
721,22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
722,23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
723,24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
724,25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
725,26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
726,27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
727,28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
728,29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
729,30,AT&T,Conglomerate and telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
730,31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
731,32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
732,33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
733,34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
734,35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
735,36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
736,37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
737,38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
738,39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
739,40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
740,41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
741,42,Humana,Health insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
742,43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
743,44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
744,45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
745,46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
746,47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
747,48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
748,49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
749,50,Tesla,Automotive and energy,"81,462",51.4%,"127,855","Austin, Texas"
750,51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
751,52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
752,53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
753,54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
754,55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
755,56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
756,57,Sysco,Food service,"68,636",33.8%,"70,510","Houston, Texas"
757,58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
758,59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
759,60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
760,61,StoneX Group,Financials,"66,036",55.3%,"4,000[2]","New York City, New York"
761,62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
762,63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
763,64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
764,65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
765,66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
766,67,IBM,Technology and cloud computing,"60,530",16.3%,"303,100","Armonk, New York"
767,68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
768,69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
769,70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
770,71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
771,72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,"5,214","Miami, Florida"
772,73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
773,74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
774,75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
775,76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
776,77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
777,78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
778,79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
779,80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
780,81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
781,82,Tyson Foods,Food processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
782,83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
783,84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,"83,300","San Jose, California"
784,85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
785,86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
786,87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
787,88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
788,89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
789,90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
790,91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
791,92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
792,93,Performance Food Group,Food processing,"47,194",61.6%,"34,825","Richmond, Virginia"
793,94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
794,95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
795,96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
796,97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
797,98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
798,99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
799,100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
800,1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
801,2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
802,3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
803,4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
804,5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
805,6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
806,7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
807,8,Alphabet,Technology and cloud computing,"282,836",9.8%,"156,000","Mountain View, California"
808,9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
809,10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
810,11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
811,12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
812,13,Microsoft,Technology and cloud computing,"198,270",18.0%,"221,000","Redmond, Washington"
813,14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
814,15,Cigna,Health insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
815,16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
816,17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
817,18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
818,19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
819,20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
820,21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
821,22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
822,23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
823,24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
824,25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
825,26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
826,27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
827,28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
828,29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
829,30,AT&T,Conglomerate and telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
830,31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
831,32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
832,33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
833,34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
834,35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
835,36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
836,37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
837,38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
838,39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
839,40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
840,41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
841,42,Humana,Health insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
842,43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
843,44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
844,45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
845,46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
846,47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
847,48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
848,49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
849,50,Tesla,Automotive and energy,"81,462",51.4%,"127,855","Austin, Texas"
850,51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
851,52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
852,53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
853,54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
854,55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
855,56,Goldman Sachs,Financials,"68,711",5.7%,"48,500","New York City, New York"
856,57,Sysco,Food service,"68,636",33.8%,"70,510","Houston, Texas"
857,58,Bunge Limited,Food industry,"67,232",13.7%,"23,000","White Plains, New York"
858,59,RTX Corporation,Conglomerate,"67,074",4.2%,"182,000","Arlington County, Virginia"
859,60,Boeing,Aerospace and defense,"66,608",6.9%,"156,000","Arlington County, Virginia"
860,61,StoneX Group,Financials,"66,036",55.3%,"4,000[2]","New York City, New York"
861,62,Lockheed Martin,Aerospace and defense,"65,984",1.6%,"116,000","Bethesda, Maryland"
862,63,Morgan Stanley,Financials,"65,936",7.9%,"82,427","New York City, New York"
863,64,Intel,Technology,"63,054",20.1%,"131,900","Santa Clara, California"
864,65,HP,Technology,"62,983",0.8%,"58,000","Palo Alto, California"
865,66,TD Synnex,Infotech,"62,344",97.2%,"28,500","Clearwater, Florida"
866,67,IBM,Technology and cloud computing,"60,530",16.3%,"303,100","Armonk, New York"
867,68,HCA Healthcare,Healthcare,"60,233",2.5%,"250,500","Nashville, Tennessee"
868,69,Prudential Financial,Financials,"60,050",15.3%,"39,583","Newark, New Jersey"
869,70,Caterpillar,Machinery,"59,427",16.6%,"109,100","Deerfield, Illinois"
870,71,Merck & Co.,Pharmaceutical industry,"59,283",15.8%,"68,000","Kenilworth, New Jersey"
871,72,World Fuel Services,Petroleum industry and logistics,"59,043",88.4%,"5,214","Miami, Florida"
872,73,New York Life Insurance Company,Insurance,"58,445",14.2%,"15,050","New York City, New York"
873,74,Enterprise Products,Petroleum industry,"58,186",42.6%,"7,300","Houston, Texas"
874,75,AbbVie,Pharmaceutical industry,"58,054",3.3%,"50,000","Lake Bluff, Illinois"
875,76,Plains All American Pipeline,Petroleum industry,"57,342",36.3%,"4,100","Houston, Texas"
876,77,Dow Chemical Company,Chemical industry,"56,902",3.5%,"37,800","Midland, Michigan"
877,78,AIG,Insurance,"56,437",8.4%,"26,200","New York City, New York"
878,79,American Express,Financial,"55,625",27.3%,"77,300","New York City, New York"
879,80,Publix,Retail,"54,942",13.5%,"242,000","Lakeland, Florida"
880,81,Charter Communications,Telecommunications,"54,022",4.5%,"101,700","Stamford, Connecticut"
881,82,Tyson Foods,Food processing,"53,282",13.2%,"142,000","Springdale, Arkansas"
882,83,John Deere,Agriculture manufacturing,"52,577",19.4%,"82,239","Moline, Illinois"
883,84,Cisco,Telecom hardware manufacturing,"51,557",3.5%,"83,300","San Jose, California"
884,85,Nationwide Mutual Insurance Company,Financial,"51,450",8.6%,"24,791","Columbus, Ohio"
885,86,Allstate,Insurance,"51,412",3.4%,"54,250","Northfield Township, Cook County, Illinois"
886,87,Delta Air Lines,Airline,"50,582",69.2%,"95,000","Atlanta, Georgia"
887,88,Liberty Mutual,Insurance,"49,956",3.6%,"50,000","Boston, Massachusetts"
888,89,TJX,Retail,"49,936",2.9%,"329,000","Framingham, Massachusetts"
889,90,Progressive Corporation,Insurance,"49,611",4.0%,"55,063","Mayfield Village, Ohio"
890,91,American Airlines,Airline,"48,971",63.9%,"129,700","Fort Worth, Texas"
891,92,CHS,Agriculture cooperative,"47,194",24.3%,"10,014","Inver Grove Heights, Minnesota"
892,93,Performance Food Group,Food processing,"47,194",61.6%,"34,825","Richmond, Virginia"
893,94,PBF Energy,Petroleum industry,"46,830",71.8%,"3,616","Parsippany–Troy Hills, New Jersey"
894,95,Nike,Apparel,"46,710",4.9%,"79,100","Beaverton, Oregon"
895,96,Best Buy,Retail,"46,298",10.6%,"71,100","Richfield, Minnesota"
896,97,Bristol-Myers Squibb,Pharmaceutical industry,"46,159",0.5%,"34,300","New York City, New York"
897,98,United Airlines,Airline,"44,955",82.5%,"92,795","Chicago, Illinois"
898,99,Thermo Fisher Scientific,Laboratory instruments,"44,915",14.5%,"130,000","Waltham, Massachusetts"
899,100,Qualcomm,Technology,"44,200",31.7%,"51,000","San Diego, California"
900,1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
901,2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
902,3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
903,4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
904,5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
905,6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
906,7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
907,8,Alphabet,Technology and cloud computing,"282,836",9.8%,"156,000","Mountain View, California"
908,9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
909,10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
910,11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
911,12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
912,13,Microsoft,Technology and cloud computing,"198,270",18.0%,"221,000","Redmond, Washington"
913,14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
914,15,Cigna,Health insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
915,16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
916,17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
917,18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
918,19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
919,20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
920,21,General Motors,Automotive industry,"156,735",23.4%,"167,000","Detroit, Michigan"
921,22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
922,23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
923,24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
924,25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
925,26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
926,27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
927,28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
928,29,Comcast,Telecommunications,"121,427",4.3%,"186,000","Philadelphia, Pennsylvania"
929,30,AT&T,Conglomerate and telecomunications,"120,741",28.5%,"160,700","Dallas, Texas"
930,31,Meta Platforms,Technology,"116,609",1.1%,"86,482","Menlo Park, California"
931,32,Bank of America,Financials,"115,053",22.6%,"216,823","Charlotte, North Carolina"
932,33,Target Corporation,Retail,"109,120",2.9%,"440,000","Minneapolis, Minnesota"
933,34,Dell Technologies,Technology,"102,301",4.4%,"133,000","Round Rock, Texas"
934,35,Archer Daniels Midland,Food industry,"101,556",19.1%,"41,181","Chicago, Illinois"
935,36,Citigroup,Financials,"101,078",26.6%,"238,104","New York City, New York"
936,37,United Parcel Service,Transportation,"100,338",3.1%,"404,700","Atlanta, Georgia"
937,38,Pfizer,Pharmaceutical industry,"100,330",23.4%,"83,000","New York City, New York"
938,39,Lowe's,Retail,"97,059",0.8%,"244,500","Mooresville, North Carolina"
939,40,Johnson & Johnson,Pharmaceutical industry,"94,943",1.2%,"152,700","New Brunswick, New Jersey"
940,41,FedEx,Transportation,"93,512",11.4%,"518,249","Memphis, Tennessee"
941,42,Humana,Health insurance,"92,870",11.8%,"67,100","Louisville, Kentucky"
942,43,Energy Transfer Partners,Petroleum industry,"89,876",33.3%,"12,565","Dallas, Texas"
943,44,State Farm,Financials,"89,328",8.6%,"60,519","Bloomington, Illinois"
944,45,Freddie Mac,Financials,"86,717",31.6%,"7,819","McLean, Virginia"
945,46,PepsiCo,Beverage,"86,859",8.7%,"315,000","Purchase, New York"
946,47,Wells Fargo,Financials,"82,859",0.5%,"238,000","San Francisco, California"
947,48,The Walt Disney Company,Media,"82,722",22.7%,"195,800","Burbank, California"
948,49,ConocoPhillips,Petroleum industry,"82,156",69.9%,"9,500","Houston, Texas"
949,50,Tesla,Automotive and energy,"81,462",51.4%,"127,855","Austin, Texas"
950,51,Procter & Gamble,Consumer products manufacturing,"80,187",5.3%,"106,000","Cincinnati, Ohio"
951,52,United States Postal Service,Logistics,"78,620",2.0%,"576,000","Washington, D.C."
952,53,Albertsons,Retail,"77,650",8.0%,"198,650","Boise, Idaho"
953,54,General Electric,Conglomerate,"76,555",3.2%,"172,000","Boston, Massachusetts"
954,55,MetLife,Financials,"69,898",1.7%,"45,000","New York City, New York"
